title,pdf_name
Facial expression synthesis based on denoising diffusion probabilistic model,Sub-r-pa et al. - 2023 - Facial expression synthesis based on denoising diffusion probabilistic model.pdf
Uncertainty-Aware Semi-Supervised Learning of 3D Face Rigging from Single Image,Uncertainty-Aware Semi-Supervised Learning of 3D Face Rigging from Single Image.pdf
Talking Face Generation with Expression-Tailored Generative Adversarial Network,Talking Face Generation with Expression-Tailored Generative Adversarial Network.pdf
"Synthesis of Facial Expressions in Photographs: Characteristics, Approaches, and Challenges","Synthesis of Facial Expressions in Photographs Characteristics, Approaches, and Challenges.pdf"
Reviving Intentional Facial Expressions: an Interface for ALS Patients using Brain Decoding and Image-Generative AI - CHI '25,Reviving Intentional Facial Expressions an Interface for ALS Patients using Brain Decoding and Imag.pdf
Fine-grained Micro-Expression Generation based on Thin-Plate Spline and Relative AU Constraint,Fine-grained Micro-Expression Generation based on Thin-Plate Spline and Relative AU Constraint.pdf
FAMGAN: Fine-grained AUs Modulation based Generative Adversarial Network for Micro-Expression Generation,FAMGAN Fine-grained AUs Modulation based Generative Adversarial Network for Micro-Expression Genera.pdf
Facial Image-to-Video Translation by a Hidden Affine Transformation,Facial Image-to-Video Translation by a Hidden Affine Transformation.pdf
Facial Expression Translation using Cycle Consistent Adversarial Networks with Contrastive Loss,Facial Expression Translation using Cycle Consistent Adversarial Networks with Contrastive Loss.pdf
CPoser: An Optimization-after-Parsing Approach for Text-to-Pose Generation Using Large Language Models,CPoser An Optimization-after-Parsing Approach for Text-to-Pose Generation Using Large Language Mode.pdf
Age-uniform Feature Learning for Image-based Kinship Verification,Age-uniform Feature Learning for Image-based Kinship Verification.pdf
Deep face normalization,Deep face normalization.pdf
Warp-guided GANs for single-photo facial animation,Geng et al. - 2018 - Warp-guided GANs for single-photo facial animation.pdf
"ReP USP - Detalhe do registro: Synthesis of facial expressions in photographs: characteristics, approaches, and challenges","Synthesis of Facial Expressions in Photographs Characteristics, Approaches, and Challenges.pdf"
StarGAN-EgVA: Emotion Guided Continuous Affect Synthesis,Yu et al. - 2020 - StarGAN-EgVA Emotion Guided Continuous Affect Synthesis.pdf
Self-Supervised Emotion Representation Disentanglement for Speech-Preserving Facial Expression Manipulation,Xu et al. - 2024 - Self-Supervised Emotion Representation Disentanglement for Speech-Preserving Facial Expression Manip.pdf
LGA-GAN: landmarks guided attentive generative adversarial network for facial expression manipulation,Zhu and Huang - 2022 - LGA-GAN landmarks guided attentive generative adversarial network for facial expression manipulatio.pdf
Learning Speech-driven 3D Conversational Gestures from Video,Habibie et al. - 2021 - Learning Speech-driven 3D Conversational Gestures from Video.pdf
"""Just To See You Smile"": SMILEY, a Voice-Guided GUY GAN","Just To See You Smile SMILEY, a Voice-Guided GUY GAN.pdf"
"InterAct: A Large-Scale Dataset of Dynamic, Expressive and Interactive Activities between Two People in Daily Scenarios","Ho et al. - 2025 - InterAct A Large-Scale Dataset of Dynamic, Expressive and Interactive Activities between Two People.pdf"
"GiGAN: Gate in GAN, could gate mechanism filter the features in image-to-image translation?","Nie et al. - 2021 - GiGAN Gate in GAN, could gate mechanism filter the features in image-to-image translation.pdf"
Generating Head Animation for a Back-Projected Human-Like Robot Head,Generating Head Animation for a Back-Projected Human-Like Robot Head.pdf
Forgery Detection by Weighted Complementarity between Significant Invariance and Detail Enhancement,Xiao et al. - 2023 - Forgery Detection by Weighted Complementarity between Significant Invariance and Detail Enhancement.pdf
Facial expression synthesis by u-net conditional generative adversarial networks,Wang et al. - 2018 - Facial expression synthesis by u-net conditional generative adversarial networks.pdf
Facial Expression Generation Based on Multi-Scale Mixed Attention,Liu et al. - 2024 - Facial expression generation based on multi-scale mixed attention.pdf
Face Reenactment with Diffusion Model and Its Application to Video Compression,Iuchi et al. - 2023 - Face reenactment with diffusion model and its application to video compression.pdf
ExprADA: Adversarial domain adaptation for facial expression analysis,Bozorgtabar et al. - 2020 - ExprADA Adversarial domain adaptation for facial expression analysis.pdf
Enhancing Facial Expression Synthesis through GAN with Multi-Scale Dilated Feature Extraction and Edge-Enhanced Facial Features*,Nimitha et al. - 2023 - Enhancing facial expression synthesis through GAN with multi-scale dilated feature extraction and ed.pdf
Double Encoder Conditional GAN for Facial Expression Synthesis,Chen et al. - 2018 - Double encoder conditional GAN for facial expression synthesis.pdf
Does the Input Image Spatial Resolution Generate Different Synthetic Images? A Comparative Study of Facial Expression Synthesis Performance,Testa et al. - 2023 - Does the input image spatial resolution generate different synthetic images A comparative study of.pdf
Conditional expression synthesis with face parsing transformation,Lu et al. - 2018 - Conditional expression synthesis with face parsing transformation.pdf
AUD:AU-based Diffusion model for Facial Expression Synthesis from a Single Image,Xu et al. - 2024 - AUDAU-based diffusion model for facial expression synthesis from a single image.pdf
Attention Based Facial Expression Manipulation,Wang et al. - 2021 - Attention based facial expression manipulation.pdf
AnimateMe: 4D Facial Expressions via Diffusion Models,Gerogiannis et al. - 2024 - AnimateMe 4D Facial Expressions via Diffusion Models.pdf
Action Unit Based Smiling Face Generation Method,Gao et al. - 2023 - Action unit based smiling face generation method.pdf
Faceexpr: Personalized Facial Expression Generation Via Attention-Focused U-Net Feature Fusion in Diffusion Models,Afgan et al. - 2025 - Faceexpr Personalized Facial Expression Generation Via Attention-Focused U-Net Feature Fusion in Di.pdf
A highly naturalistic facial expression generation method with embedded vein features based on diffusion model,Song et al. - 2025 - A highly naturalistic facial expression generation method with embedded vein features based on diffu.pdf
A generative approach for dynamically varying photorealistic facial expressions in human-agent interactions,Huang and Khan - 2018 - A generative approach for dynamically varying photorealistic facial expressions in human-agent inter.pdf
A facial expression synthesis method based on generative adversarial network,Xu et al. - 2022 - A facial expression synthesis method based on generative adversarial network.pdf
Geometry guided adversarial facial expression synthesis,Song et al. - 2018 - Geometry guided adversarial facial expression synthesis.pdf
4D facial expression diffusion model,Zou et al. - 2024 - 4D facial expression diffusion model.pdf
Intuitive facial animation editing based on a generative RNN framework,Berson et al. - 2020 - Intuitive facial animation editing based on a generative RNN framework.pdf
Facial Expression Analysis and Its Potentials in IoT Systems: A Contemporary Survey,Shangguan et al. - 2025 - Facial Expression Analysis and Its Potentials in IoT Systems A Contemporary Survey.pdf
Facial Expression Analysis in Parkinsons's Disease Using Machine Learning: A Review,Oliveira et al. - 2025 - Facial Expression Analysis in Parkinsons's Disease Using Machine Learning A Review.pdf
Deepfake Detection Using Spatiotemporal Transformer,Kaddar et al. - 2024 - Deepfake Detection Using Spatiotemporal Transformer.pdf
Detection of AI-Manipulated Fake Faces via Mining Generalized Features,Yu et al. - 2022 - Detection of AI-Manipulated Fake Faces via Mining Generalized Features.pdf
SMART-DREAM: To Condition or Not to Condition; A Study on the Impact of LLM Conditioning on Motivational Interview Dialog Virtual Agent,Galland et al. - 2025 - SMART-DREAM To Condition or Not to Condition; A Study on the Impact of LLM Conditioning on Motivati.pdf
